16	    0.450758    0.688244    1.288919    2.816062    5.096877    6.993438    7.991712    7.998322    6.805113    6.923675
163	    0.160480    0.224901    0.344478    0.538908    0.871034    1.982531    3.545728    4.144969    4.467135    4.591547
165	    0.206175    0.311093    0.606623    1.363352    2.663044    3.836825    5.452579    7.451283    8.789554    8.481503
166	    0.206175    0.311093    0.606623    1.363352    2.663044    3.836825    5.452579    7.451283    8.789554    8.481503
169	    0.059769    0.082955    0.119791    0.173878    1.045391    2.083531    4.830071    6.479056    7.350868    6.633992
17	    0.450758    0.688244    1.288919    2.816062    5.096877    6.993438    7.991712    7.998322    6.805113    6.923675
171	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
173	    0.877959    1.348462    2.148499    3.516840    5.432625    8.295584   32.960789   43.977188   50.148273   46.315842
174	    0.232709    0.322918    0.503366    0.806044    1.279089    2.051320    2.606449    2.972129    3.113541    3.262880
175	    0.222535    0.300434    0.446452    0.661681    0.978207    2.075130    3.600700    4.215167    4.627358    4.740619
176	    0.222535    0.300434    0.446452    0.661681    0.978207    2.075130    3.600700    4.215167    4.627358    4.740619
177	    0.232709    0.322918    0.503366    0.806044    1.279089    2.051320    2.606449    2.972129    3.113541    3.262880
178	    1.054042    1.582084    2.366132    3.598274    5.446115    8.791570   11.796582   13.533530   15.219022   15.651245
179	    0.232709    0.322918    0.503366    0.806044    1.279089    2.051320    2.606449    2.972129    3.113541    3.262880
18	    0.450758    0.688244    1.288919    2.816062    5.096877    6.993438    7.991712    7.998322    6.805113    6.923675
180	    0.222535    0.300434    0.446452    0.661681    0.978207    2.075130    3.600700    4.215167    4.627358    4.740619
182	    0.222535    0.300434    0.446452    0.661681    0.978207    2.075130    3.600700    4.215167    4.627358    4.740619
183	    0.059769    0.082955    0.119791    0.173878    1.045391    2.083531    4.830071    6.479056    7.350868    6.633992
184	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
186	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
187	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
188	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
189	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
190	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
191	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
192	    0.060414    0.082991    0.123354    0.198985    1.295553    1.788476    4.313965    5.790070    6.592701    5.983711
2	    0.962586    1.440978    2.211696    3.347015    4.770564    6.715779    8.606565    9.119226    8.855408    9.463449
20	    0.875267    1.316347    2.071532    3.262039    4.765230    7.277699    9.868910   10.809345   11.444336   11.942031
205	    0.059769    0.082955    0.119791    0.173878    1.045391    2.083531    4.830071    6.479056    7.350868    6.633992
21	    0.579461    0.862417    1.386767    2.147346    3.082990    4.907938    5.845092    4.382138    1.918535    0.624537
214	    0.059769    0.082955    0.119791    0.173878    1.045391    2.083531    4.830071    6.479056    7.350868    6.633992
215	    0.059769    0.082955    0.119791    0.173878    1.045391    2.083531    4.830071    6.479056    7.350868    6.633992
216	    0.059769    0.082955    0.119791    0.173878    1.045391    2.083531    4.830071    6.479056    7.350868    6.633992
217	    0.059769    0.082955    0.119791    0.173878    1.045391    2.083531    4.830071    6.479056    7.350868    6.633992
219	    0.989998    1.457274    2.170462    3.304211    5.074353    7.683449    9.948517   10.986839   11.659556   12.034675
22	    0.394896    0.576222    0.862454    1.288532    1.884022    2.584729    2.973572    2.954992    2.400360    2.506335
222	    0.199707    0.347627    0.635902    0.998672    1.377255    2.581213    2.974272    2.419997    1.187107    0.324935
223	    0.614084    0.927074    1.539324    2.226815    3.022013    6.211366    6.853438    5.935387    3.408393    2.549301
224	    0.749790    1.094124    1.668237    2.372414    3.255138    5.822630    6.708762    6.682149    5.552039    5.457217
227	    0.755141    1.081666    1.522416    2.111297    2.828879    3.611939    3.887532    3.678848    2.893710    2.597641
23	    0.867771    1.260316    1.875664    2.770909    3.787503    4.877251    5.269898    4.926051    3.859945    3.853450
233	    0.093290    0.128458    0.357821    1.166111    4.557507    6.392099    8.650782   11.430840   13.590772   13.269386
239	    0.299029    0.415138    0.580981    0.926153    2.069134    9.233598   23.954880   32.746082   38.560020   36.748672
242	    0.874228    1.400921    2.570025    4.772182    8.799800   12.516060   17.645226   24.294701   29.400129   29.391098
243	    0.293499    0.433902    0.686330    1.144417    1.926525    5.883715    7.662916    9.457314   11.446353   11.567874
245	    0.401233    0.623848    1.000784    1.693860    3.221278    4.577860    6.330407    8.528703   10.299183   10.279011
25	    0.513107    0.766670    1.266394    2.113316    2.910186    8.868023    9.861280    7.642348    3.815029    4.006757
26	    0.033922    0.030809    0.052643    0.178444    1.847802   34.354778   49.595573   65.208076   72.385681   63.850918
267	    0.330064    0.502439    0.793088    1.314780    2.126913    3.401248    4.191474    4.645337    4.719032    4.996088
268	    0.330064    0.502439    0.793088    1.314780    2.126913    3.401248    4.191474    4.645337    4.719032    4.996088
269	    0.330064    0.502439    0.793088    1.314780    2.126913    3.401248    4.191474    4.645337    4.719032    4.996088
27	    0.082508    0.109375    0.252690    0.729835    4.709978    6.493392    8.676455   11.153924   11.341947    9.147574
270	    0.330064    0.502439    0.793088    1.314780    2.126913    3.401248    4.191474    4.645337    4.719032    4.996088
271	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
272	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
274	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
275	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
276	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
277	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
278	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
28	    0.847485    1.282555    2.076157    3.346190    5.124135    8.085629   11.468827   13.141603   13.572513   14.334151
280	    0.465797    0.697031    1.062639    1.654131    2.520109    4.042923    4.858250    5.257455    5.294344    5.582666
287	    0.170337    0.227812    1.307809    2.164571    3.616172    8.930534    9.592402    6.979998    3.203681    0.808623
289	    0.840757    1.427677    3.257699    7.651589   11.152225   15.294098   21.414392   21.518957    9.582095    2.286745
